time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-10-21T12:02:12.988Z,36.1168,70.6749,96.09,4.5,mb,,82,2.062,1.07,us,us6000calq,2020-10-21T12:23:23.040Z,"80 km NNW of Pārūn, Afghanistan",earthquake,6.9,8.9,0.072,58,reviewed,us,us
2020-10-21T11:56:41.592Z,54.4427,-159.6231,18.82,4.7,mww,,160,0.389,1.07,us,us6000call,2020-10-22T15:00:52.040Z,"114 km SSE of Sand Point, Alaska",earthquake,6.2,2.6,0.068,21,reviewed,us,us
2020-10-21T11:34:52.072Z,54.1499,-159.7837,17.31,4.6,mb,,166,0.691,0.57,us,us6000calf,2020-10-24T16:25:28.040Z,"139 km SSE of Sand Point, Alaska",earthquake,5.3,5.1,0.061,80,reviewed,us,us
2020-10-21T09:13:05.183Z,-25.5166,-70.9974,9.38,5.7,mww,,102,0.724,1.1,us,us6000caj9,2020-10-22T09:17:05.514Z,"52 km WSW of Taltal, Chile",earthquake,2.6,3.7,0.066,22,reviewed,us,us
2020-10-21T06:37:35.400Z,54.277,-159.6023,15.04,4.9,mb,,123,0.555,1.02,us,us6000caig,2020-10-24T16:28:36.040Z,"131 km SSE of Sand Point, Alaska",earthquake,6.8,4.7,0.028,387,reviewed,us,us
2020-10-21T04:21:23.628Z,2.8372,96.2653,35,4.6,mb,,62,2.008,0.74,us,us6000cahr,2020-10-22T03:14:57.040Z,"41 km NNW of Sinabang, Indonesia",earthquake,4.6,2,0.112,24,reviewed,us,us
2020-10-21T04:21:07.079Z,-56.1782,-143.5539,10,5.4,mww,,80,27.52,0.52,us,us6000cane,2020-10-22T04:24:29.957Z,"Pacific-Antarctic Ridge",earthquake,13,1.9,0.078,16,reviewed,us,us
2020-10-21T04:04:47.204Z,31.9772,104.2754,10,5.2,mb,,39,4.785,0.75,us,us6000cahl,2020-10-22T03:16:31.725Z,"47 km WNW of Jiangyou, China",earthquake,7,1.8,0.035,264,reviewed,us,us
2020-10-21T03:35:24.695Z,52.9586,-164.584,38.98,4.8,mwr,,70,1.372,0.68,us,us6000cahd,2020-10-22T01:54:50.511Z,"152 km SSE of Akutan, Alaska",earthquake,4.2,4.7,0.083,14,reviewed,us,us
2020-10-21T02:19:54.454Z,-62.348,-58.2565,15.11,4.7,mb,,76,0.22,0.99,us,us7000c6ai,2020-10-28T04:00:36.040Z,"South Shetland Islands",earthquake,6.5,5,0.123,20,reviewed,us,us
2020-10-21T02:00:26.410Z,-62.3141,-58.3074,12.53,5.1,mww,,71,0.183,0.63,us,us6000cagl,2020-10-28T03:27:30.040Z,"South Shetland Islands",earthquake,4.3,3.2,0.083,14,reviewed,us,us
2020-10-21T01:52:44.972Z,-47.2099,-13.1338,10,4.9,mb,,75,22.711,0.97,us,us7000c6ah,2020-10-28T02:45:09.040Z,"southern Mid-Atlantic Ridge",earthquake,11.5,1.8,0.11,26,reviewed,us,us
2020-10-21T01:17:53.037Z,54.2699,-159.618,15.58,5.1,mww,,72,0.562,0.81,us,us6000cag5,2020-10-28T02:26:22.040Z,"131 km SSE of Sand Point, Alaska",earthquake,5,3.5,0.044,50,reviewed,us,us
2020-10-21T00:22:33.928Z,-19.3191,-172.3884,10,5.9,mww,,26,7.413,1.05,us,us6000cafc,2020-10-22T00:36:24.040Z,"183 km ESE of Neiafu, Tonga",earthquake,8.8,1.8,0.08,15,reviewed,us,us
2020-10-20T23:08:05.419Z,41.1969,73.0421,10,4.7,mb,,48,0.134,0.94,us,us6000cae9,2020-10-21T09:59:18.274Z,"29 km N of Jalal-Abad, Kyrgyzstan",earthquake,4.8,1.9,0.069,63,reviewed,us,us
2020-10-20T21:38:52.052Z,54.6325,-159.8159,33.71,4.9,mb,,170,0.238,0.94,us,us6000cacz,2020-10-20T23:11:53.810Z,"89 km SSE of Sand Point, Alaska",earthquake,6.5,5.1,0.039,211,reviewed,us,us
2020-10-20T21:37:19.527Z,13.6892,-90.6203,41.89,4.5,mb,,91,1.332,0.84,us,us6000cad1,2020-10-28T05:35:27.040Z,"28 km SSE of Iztapa, Guatemala",earthquake,12.6,5.5,0.075,52,reviewed,us,us
