year,mon,dy,hr,minutes,seconds,lon,lat,dep,mag,evid
2012,2,26,7,21,49.83,122.6902,24.4782,88.62,3.47,14260721.P12
2012,2,26,8,25,58.20,120.7685,22.7328,23.49,3.74,14260825.P12
2012,2,26,12,44,41.67,120.7345,22.7303,24.47,3.06,14261244.P12
2012,2,26,19,48,2.11,120.7868,22.7140,20.54,3.39,14261947.P12
2012,2,26,22,14,52.68,120.7337,22.7478,24.46,3.06,14262214.P12
2012,2,27,6,20,14.90,122.0348,24.8793,111.42,3.23,14270620.P12
2012,2,27,17,27,5.55,120.7962,22.7187,19.83,3.16,14271725.P12
2012,2,28,8,24,14.52,121.9857,24.4295,19.60,3.73,14280823.P12
2012,2,28,11,49,19.23,122.4120,24.8217,111.80,3.15,14281148.P12
2012,2,28,22,21,57.80,121.9938,23.8795,39.87,3.28,14282222.P12
2012,2,29,2,14,33.00,121.8387,24.4895,51.11,3.11,14290213.P12
2012,2,29,5,8,59.27,122.4857,24.6888,1.71,3.40,14290508.P12
2012,2,29,11,7,38.91,121.3147,22.7135,32.07,3.81,14291106.P12
2012,2,29,11,39,30.18,121.8057,24.4152,52.72,3.47,14291138.P12
2012,2,29,16,58,38.71,121.5918,24.0328,7.56,3.10,14291658.P12
2012,2,29,17,50,51.09,121.6123,24.0267,8.83,3.60,14291750.P12
2012,2,29,18,9,38.73,121.6197,24.0513,8.88,3.04,14291808.112
2012,2,29,18,9,47.61,121.6223,24.0413,11.11,3.06,14291808.212
2012,3,1,1,41,40.92,121.5318,22.1598,100.27,4.24,15010140.P12
2012,3,1,2,45,43.22,121.4250,23.7878,18.09,4.25,15010244.P12
2012,3,1,5,11,21.85,122.2942,24.1123,27.19,3.23,15010510.P12
2012,3,1,9,5,35.20,121.9372,24.4007,16.95,3.19,15010905.P12
2012,3,1,13,24,57.58,122.8198,24.5142,89.33,4.41,15011324.P12
2012,3,1,17,47,6.48,121.0058,24.4317,8.85,3.27,15011746.P12
2012,3,2,3,13,33.25,122.0130,23.9580,32.05,3.17,15020312.P12
2012,3,2,11,25,36.04,121.7492,24.5542,66.88,3.11,15021125.P12
2012,3,2,16,9,9.08,121.9188,24.8650,98.60,3.71,15021608.P12
2012,3,2,16,9,15.44,121.6870,24.8460,81.14,3.58,15021608.112
2012,3,2,21,17,24.16,122.6175,24.8553,136.50,3.12,15022116.P12
2012,3,3,13,16,17.51,122.4235,24.7627,104.83,3.60,15031316.P12
2012,3,4,3,13,10.94,121.9082,24.6383,58.40,3.57,15040312.P12
2012,3,4,6,21,21.90,121.4290,23.7845,17.77,3.12,15040620.P12
2012,3,4,10,13,7.04,121.6757,23.9590,29.93,3.33,15041012.P12
2012,3,4,17,52,14.52,122.6983,24.1533,50.03,4.80,15041752.P12
2012,3,4,20,20,26.42,121.6615,24.1013,45.90,3.12,15042020.P12
2012,3,5,9,54,40.47,121.7037,24.2233,11.81,3.13,15050954.P12
2012,3,5,13,17,55.18,120.7832,22.7450,27.98,3.46,15051317.P12
2012,3,5,15,46,19.60,121.6973,24.2218,14.10,3.09,15051546.P12
2012,3,5,16,3,36.03,121.6907,24.2283,9.26,3.08,15051602.P12
2012,3,5,17,3,44.22,121.7670,23.7758,17.21,3.02,15051702.P12
2012,3,6,6,59,50.08,122.2388,24.8885,115.80,3.60,15060659.P12
2012,3,6,12,19,7.64,121.4053,23.1133,23.59,3.39,15061218.P12
2012,3,6,12,27,37.07,122.0267,24.9708,121.25,3.22,15061227.P12
2012,3,6,14,11,46.44,121.0635,24.0048,6.69,3.40,15061410.P12
2012,3,6,19,12,5.72,121.8015,21.9667,154.71,3.05,15061912.P12
2012,3,6,22,49,20.75,121.5223,21.6475,147.85,3.05,15062249.P12
2012,3,7,0,33,51.98,120.7350,22.7368,23.09,3.35,15070032.P12
2012,3,7,13,7,37.39,122.0058,23.6707,20.72,3.79,15071307.P12
2012,3,7,13,49,49.65,120.7535,22.7252,24.93,3.84,15071349.P12
2012,3,7,21,54,12.93,121.7283,24.2125,24.73,3.38,15072153.P12
2012,3,8,2,42,12.85,120.7267,22.7318,23.53,3.53,15080240.P12
2012,3,8,5,33,4.96,122.4105,24.9105,15.95,3.31,15080532.P12
2012,3,8,16,16,27.78,121.7365,25.0083,133.74,3.78,15081616.P12
